Bank Count,عد الأوراق النقدية,
Branch,فرع,
Branch Cost Center,مركز تكلفة الفرع,
Branch Custody Account,حساب حفظ الفرع,
Branch search failed,فشل البحث عن الفرع,
"Branch, expense approver, and advances are filled from your employee and branch defaults during submit.",يتم ملء الفرع والموافق على المصروف والسلفات من إعدادات الموظف والفرع الافتراضية أثناء الإرسال.,
Cancel,إلغاء,
Cancel Payment Entry,إلغاء إدخال الدفع,
Cancel note count {0}?,إلغاء عد الفئات {0}؟,
Cancel payment entry {0}?,إلغاء إدخال الدفع {0}؟,
Cancelled,ملغي,
Card View,عرض البطاقة,
Cash,نقد,
Cash Breakdown,توزيع النقد,
Cash Count,عد النقد,
Checkout,الدفع,
Clear Filters,مسح الفلاتر,
Close,إغلاق,
Close Day,إغلاق اليوم,
Close Day Payment Entries require matching account currency for Mode of Payment {0}.,تتطلب إدخالات دفع إغلاق اليوم عملة حساب متطابقة لطريقة الدفع {0}.,
Close Day Report,تقرير إغلاق اليوم,
Close Shift,إغلاق الفترة,
Closing POS and submitting entry...,جاري إغلاق الكاشير وإرسال الإدخال...,
Column 1,العمود 1,
Column 2,العمود 2,
Company,شركة,
Company Default Expense Claim Payable Account is required before creating an Expense Claim.,حساب دفع دعوى المصروف الافتراضي للشركة مطلوب قبل إنشاء مصروف.,
Company is required to create Close Day Payment Entries.,الشركة مطلوبة لإنشاء إدخالات دفع إغلاق اليوم.,
Contact {0} is not linked to Customer {1}.,جهة الاتصال {0} غير مرتبطة بالعميل {1}.,
Cost Center,مركز التكلفة,
Count,عد,
Create,إنشاء,
Create Expense Claim,إنشاء مصروف,
Create Note Count,إنشاء عد الفئات,
Create Outgoing Transfer,إنشاء نقل مخزون,
Create POS Opening Entry,إنشاء قيد افتتاح نقطة البيع,
"Currency is not correct, party account currency is {party_account_currency} and transaction currency is {currency}",العملة غير صحيحة، عملة حساب الطرف هي {party_account_currency} والعملة المعاملة هي {currency},
Customer,العميل,
Customer Details,تفاصيل العميل,
Customer ID,معرف العميل,
Customer is required.,العميل مطلوب.,
Customer updated successfully.,تم تحديث العميل بنجاح.,
Customer {0} created successfully,تم إنشاء العميل {0} بنجاح,
Customers,العملاء,
Damaged Warehouse,مستودع تالف,
Date,التاريخ,
Default Account is required for Mode of Payment {0}.,الحساب الافتراضي مطلوب لطريقة الدفع {0}.,
Default In Transit Warehouse not set for {source_warehouse},لم يتم تعيين مستودع الترانزيت الافتراضي لـ {source_warehouse},
Description,الوصف,
Destination warehouse must be specified,يجب تحديد مستودع الوجهة,
Discount,خصم,
Discount %,نسبة الخصم %,
Discount for item at row {0} cannot exceed {1}%,لا يمكن أن يتجاوز الخصم للعنصر في الصف {0} عن {1}%,
Discount percentage cannot be greater than {0}%,لا يمكن أن تكون نسبة الخصم أكبر من {0}%,
Docstatus,حالة المستند,
Doctype,نوع المستند,
Draft,مسودة,
Edit,تحرير,
Email,البريد الإلكتروني,
Employee,الموظف,
Employee Company is required before creating an Expense Claim.,شركة الموظف مطلوبة قبل إنشاء مصروف.,
Employee Expense Approver is required before creating an Expense Claim.,موافق نفقات الموظف مطلوب قبل إنشاء مصروف.,
Enable Note Count,تفعيل عد الفئات,
Enables the Purchase Tab in MaxIt POS,يفعل علامة تبويب الشراء في MaxIt POS,
Enter at least one payment row with a positive amount.,أدخل صف دفع واحد على الأقل برصيد موجب.,
Every expense amount must be greater than zero.,يجب أن يكون كل مبلغ نفقات أكبر من صفر.,
Expanded,موسع,
Expense,مصروف,
Expense Claim,مصروف,
Expense Claim Type,نوع  المطالبة  بالنفقات,
Expense Claim cancelled successfully.,تم إلغاء المصروف بنجاح.,
Expense Claim created successfully.,تم إنشاء المصروف بنجاح.,
Expense Claim fetch failed,فشل جلب المصاريف,
Expense Claim is required.,المصروف مطلوبة.,
Expense Date,تاريخ المصروف,
Expense Manager,مدير المصروف,
Expense Name,اسم النفقة,
Expense Rows,صفوف المصروف,
Expense Type,نوع المصاريف,
Expense Type Account,حساب نوع المصروف,
Expense User,مستخدم المصاريف,
Expense claim type search failed,فشل البحث عن نوع نوع المصاريف,
Expense type search failed,فشل البحث عن نوع المصاريف,
Expenses,المصاريف,
Failed to load dynamic filters.,فشل تحميل الفلاتر الديناميكية.,
Failed to load items.,فشل تحميل العناصر.,
Field,حقل,
Field Options,خيارات الحقل,
Field Type,نوع الحقل,
Filter,منقي,
From Account,من الحساب,
From Branch,من الفرع,
From Date,من تاريخ,
From Warehouse,من المخزن,
Get Stock,الحصول على المخزون,
Getting stock...,جاري الحصول على المخزون...,
Grand Total,الإجمالي الكلي,
Grouped,مجموعة,
HRMS Expense Claim advances helper is unavailable: {0},مساعد سلفات دعوى المصروف HRMS غير متاح: {0},
In Transit,جاري النقل,
Incoming Transfers,التحويلات الواردة,
Info,معلومات,
Invalid Opening Entry,افتتاحية نقطة بيع غير صالحة,
Invalid POS profile payload.,حمولة ملف POS غير صحيحة.,
Invoice Cancelled,تم إلغاء الفاتورة,
Invoice Details,تفاصيل الفاتورة,
Invoice Items,عناصر الفاتورة,
Invoice Settlement,تسوية الفاتورة,
Invoices Synced: {0},تم مزامنة الفواتير: {0},
Is Closing Entry,عملية إغلاق اليوم؟,
Is Group,هو مجموعة,
Item,السلعة,
Item Code,رمز السلعة,
Item Code: {0} is not available under warehouse {1}.,رمز العنصر: {0} غير متوفر ضمن المستودع {1}.,
Item Field Name,اسم حقل العنصر,
Item Group,مجموعة الصنف,
Item Name,اسم السلعة,
Item View,عرض العنصر,
Item code is required for item at row {0},كود العنصر مطلوب للعنصر في الصف {0},
Item search failed,فشل البحث عن العنصر,
Items,الاصناف,
Items Browser,متصفح العناصر,
Journal Entry,القيود اليومية,
Late Pickups,الالتقاطات المتأخرة,
Late Returns,الإرجاعات المتأخرة,
Linked Invoices,الفواتير المرتبطة,
List View,عرض القائمة,
Load,تحميل,
Load SO,تحميل أمر البيع,
Manage Expenses,إدارة المصروف,
Manage Stock Entry,إدارة إدخال المخزون,
Material Warehouse,مستودع المواد,
Max Discount %,أقصى خصم %,
Max Items Listing, أقصى عدد لعرض الأصناف,
MaxIT POS, نقطة بيع ماكس إت,
Middle Man Account,حساب الوسيط,
Middle Man Account is required for Mode of Payment {0}.,حساب الوسيط مطلوب لطريقة الدفع {0}.,
Missing Opening Entry, قيد افتتاح مفقود,
Mobile / Phone,الهاتف المحمول / الهاتف,
Mobile No,رقم الجوال,
Mode of Payment,طريقة الدفع,
Mode of Payment Summary,ملخص طريقة الدفع,
Mode of Payment is required.,طريقة الدفع مطلوبة.,
Mode of Payment {0} must have different source and target accounts.,طريقة الدفع {0} يجب أن يكون لها حسابات مصدر وهدف مختلفة.,
Mode of Payments,طريقة الدفع,
Must be greater than 0,يجب أن تكون أكبر من 0,
My Filter,الفلاتر الخاصة بي,
N/A,N/A,
Name,الاسم,
New,جديد,
New Expense,مصروف جديدة,
New Note Count,عد فئات جديد,
New Outgoing Entry,إدخال صادر جديد,
New Payment Entry,إدخال دفع جديد,
No Customer Selected,لم يتم تحديد عميل,
No Invoice Selected,لم يتم تحديد فاتورة,
No Mode of Payments are configured for POS Profile {0}.,لم يتم تكوين طرق دفع لملف POS {0}.,
No Note Count Selected,لم يتم تحديد عد فئات,
No Payment Entry Selected,لم يتم تحديد إدخال دفع,
No Supplier Branches found for the given POS Profile's Cost Center.,لم يتم العثور على فروع المورد لمركز التكلفة ملف POS المحدد.,
No customers found for this filter.,لم يتم العثور على عملاء لهذا المرشح.,
No email,لا توجد رسالة بريد إلكترونية,
No expense rows were found for this claim.,لم يتم العثور على صفوف نفقات لهذه الدعوى.,
No expenses found for the selected filters.,لم يتم العثور على نفقات للمرشحات المحددة.,
No incoming transfers found for the selected filters.,لم يتم العثور على تحويلات واردة للمرشحات المحددة.,
No invoices found for this filter.,لم يتم العثور على فواتير لهذا المرشح.,
No items found for this search/filter combination.,لم يتم العثور على عناصر لمجموعة البحث / المرشح هذه.,
No mode of payments are configured for this POS Profile.,لم يتم تكوين طرق دفع لملف POS هذا.,
No note counts found for this filter.,لم يتم العثور على عدد ملاحظات لهذا المرشح.,
No open POS Opening Entry found for POS Profile {0}.,لم يتم العثور على إدخال افتتاح POS مفتوح لملف POS {0}.,
No open POS Opening Entry found for this session.,لم يتم العثور على إدخال افتتاح POS مفتوح لهذه الجلسة.,
No outgoing transfers found for the selected filters.,لم يتم العثور على تحويلات صادرة للمرشحات المحددة.,
No payment entries found for this filter.,لم يتم العثور على إدخالات دفع لهذا المرشح.,
No phone,لا توجد هاتف,
No previous invoice found for this POS Profile.,لم يتم العثور على فاتورة سابقة لملف POS هذا.,
No primary address linked for this customer.,لا يوجد عنوان أساسي مرتبط لهذا العميل.,
No primary contact linked for this customer.,لا توجد جهة اتصال أساسية مرتبطة لهذا العميل.,
No stock information found for item {0},لا توجد معلومات مخزون للصنف {0},
No.,لا,
Not Available,غير متوفرة,
Not Set,غير محدد,
Not linked,غير مرتبط,
Note,ملاحظة,
Note Count,عد الفئات,
Note Count Details,تفاصيل عد الفئات,
Note Count Enabled,تفعيل عد الفئات,
Note Count Print Format,قالب طباعة عد الفئات,
Note Count created successfully.,تم إنشاء عد الفئات بنجاح.,
Note Count is required.,عد الفئات مطلوب.,
Note Count {0} cannot be cancelled as it is linked to submitted Payment Entry.,لا يمكن إلغاء عد الفئات {0} لأنه مرتبط بقيد دفع مقدم.,
Note Count {0} does not match Mode of Payment {1}.,عد الفئات {0} لا يطابق طريقة الدفع {1}.,
Note Count {0} does not match posting date {1}.,عد الفئات {0} لا يطابق تاريخ الترحيل {1}.,
Note Count {0} must be submitted before it can be used.,يجب تقديم عد الفئات {0} قبل استخدامه.,
Note count cancelled successfully.,تم إلغاء عد الفئات بنجاح.,
Notes,ملاحظات,
Only Cash and Bank payment types are supported for Note Count.,يتم دعم أنواع الدفع النقدي والبنكي فقط لعدد الأوراق.,
Only Close Day payment entries can be cancelled from this screen.,يمكن إلغاء قيود الدفع لإغلاق اليوم فقط من هذه الشاشة.,
Only submitted Expense Claim records can be cancelled.,يمكن إلغاء سجلات مطالبات المصروف المرحلة فقط.,
Only submitted Note Count records can be cancelled.,يمكن إلغاء سجلات عد الفئات المرحلة فقط.,
Only submitted Payment Entry records can be cancelled.,يمكن إلغاء سجلات قيود الدفع المرحلة فقط.,
Only submitted Stock Entry records can be cancelled,يمكن إلغاء سجلات قيود المخزون المرحلة فقط,
Only submitted note counts can be cancelled.,يمكن إلغاء عد الفئات المرحلة فقط.,
Only submitted payment entries can be cancelled.,يمكن إلغاء قيود الدفع المرحلة فقط.,
Opening Amount,مبلغ الافتتاح,
Opening Balance Details,تفاصيل الرصيد الافتتاحي,
Orders,طلبات,
Outdated POS Opening Entry,قيد افتتاح نقطة البيع قديم,
Outgoing Transfers,التحويلات الصادرة,
Outgoing transfer created successfully.,تم إنشاء نقل المخزون بنجاح.,
Outstanding,معلقة,
Outstanding Amount,المبلغ المستحق,
POS,نقطة البيع,
POS Advanced Filters,فلاتر نقطة البيع المتقدمة,
POS Closed,تم إغلاق نقطة البيع,
POS Closing Entry {0} submitted successfully,تم ترحيل قيد إغلاق نقطة البيع {0} بنجاح,
POS Closing Failed,فشل إغلاق نقطة البيع,
POS Opening Entry - {0} is outdated. Please close the POS and create a new POS Opening Entry.,قيد فتح نقطة البيع - {0} قديم. يرجى إغلاق نقطة البيع وإنشاء قيد فتح جديد.,
POS Opening Entry Exists,قيد فتح نقطة البيع موجود,
POS Opening Entry Missing,قيد فتح نقطة البيع مفقود,
POS Profile,الملف الشخصي لنقطة البيع,
POS Profile is required to create Close Day Payment Entries.,ملف تعريف نقطة البيع مطلوب لإنشاء قيود الدفع لإغلاق اليوم.,
POS Profile is required to print the Close Day report.,ملف تعريف نقطة البيع مطلوب لطباعة تقرير إغلاق اليوم.,
POS has been closed at {0}. Please refresh the page.,تم إغلاق نقطة البيع في {0}. يرجى تحديث الصفحة.,
POS profile data is not ready yet.,بيانات ملف تعريف نقطة البيع ليست جاهزة بعد.,
Paid Amount,المبلغ المدفوع,
Pay,دفع,
Pay & Print,دفع و طباعة,
Payable Account,حساب الدائنين,
Payment,دفعة,
Payment Entries,قيود الدفع,
Payment Entries created successfully.,تم إنشاء قيود الدفع بنجاح.,
Payment Entry,قيد الدفع,
Payment Entry Details,تفاصيل قيد الدفع,
Payment Entry Print Format,قالب طباعة قيد الدفع,
Payment Entry is required.,قيد الدفع مطلوب.,
Payment Mode,طريقة الدفع,
Payment Successful,تم الدفع بنجاح,
Payment entry cancelled successfully.,تم إلغاء قيد الدفع بنجاح.,
Payments,المدفوعات,
Pickups,الاستلامات,
Please add Mode of payments and opening balance details.,الرجاء إضافة طريقة الدفع وتفاصيل الرصيد الافتتاحي.,
Please complete all item rows with a valid quantity.,يرجى إكمال جميع صفوف الأصناف بكمية صحيحة.,
Please complete every expense row with a claim type and amount.,يرجى إكمال كل صف مصروف بنوع مطالبة ومبلغ.,
Please complete the required fields.,يرجى إكمال الحقول المطلوبة.,
Please enter an amount to pay.,يرجى إدخال مبلغ للدفع.,
Please select a destination branch.,يرجى تحديد فرع الوجهة.,
Posting Date,تاريخ الترحيل,
Posting Date is required.,تاريخ الترحيل مطلوب.,
Posting Time,نشر التوقيت,
Preparing Close Day Report,يتم تحضير تقرير إغلاق اليوم,
Preparing report...,جاري إعداد التقرير...,
Price is not set for the item.,السعر غير محدد للصنف.,
Primary Address,عنوان أساسي,
Primary Contact,جهة الاتصال الأساسية,
Print,طباعة,
Print Close Day Report,طباعة تقرير إغلاق اليوم,
Print Last Invoice,طباعة آخر فاتورة,
Print Last Invoice for Creator Only,طباعة آخر فاتورة للمنشئ فقط,
Print Report,طباعة التقرير,
Purchase,الشراء,
Purchase Receipt Print Format,قالب طباعة إيصال الشراء,
Purchase User,مستخدم الشراء,
Purchase invoice sync completed.,تم إكمال مزامنة فاتورة الشراء.,
Purchase invoice sync failed.,فشلت مزامنة فاتورة الشراء.,
Purchase invoice sync failed. Please check Error Log.,فشلت مزامنة فاتورة الشراء. يرجى التحقق من سجل الأخطاء.,
Purchase invoice sync started in background.,بدأت مزامنة فاتورة الشراء في الخلفية.,
Qty,الكمية,
Rate,سعر السلعة المفردة,
Rate is required for item at row {0},المعدل مطلوب للصنف في الصف {0},
Receive,استلام,
Received,تم الاستقبال,
Reference Number,رقم الارتباط,
Refresh,تحديث,
Remaining,المتبقية,
Required,مطلوب,
Reset Filters,إعادة تعيين المرشحات,
Return,عودة,
Return Invoice Created,تم إنشاء فاتورة الإرجاع,
Returns,النتائج,
Sales invoice {0} created successfully,تم إنشاء فاتورة المبيعات {0} بنجاح,
Sales order {0} created successfully,تم إنشاء طلب المبيعات {0} بنجاح,
Sanctioned Amount,المبلغ المعتمد,
Save,حفظ,
Save SO,حفظ ك طلب البيع,
Search,بحث,
Search Items,البحث عن الأصناف,
Search Results,نتائج البحث,
Search by code or name,البحث حسب الكود أو الاسم,
Search claim or notes,البحث حسب اسم القيد الاشاري للمصروف أو ملاحظات,
Search customer by code or name,البحث عن العميل حسب الكود أو الاسم,
"Search invoice, customer, mobile",البحث عن الفاتورة عن طريق اسم العميل او الجوال,
"Search invoice, supplier invoice",البحث عن الفاتورة عن طريق رقم الفاتورة أو فاتورة المورد,
Search note count,البحث عن عد الفئات,
Search payment entry,البحث عن قيد الدفع,
Select Customer,تحديد العميل,
Select Invoice,تحديد الفاتورة,
Select Note Count,تحديد عد الفئات,
Select Payment Entry,تحديد قيد الدفع,
Select Period,تحديد الفترة,
Select a customer from the left panel to view details.,حدد عميلاً من اللوحة اليسرى لعرض التفاصيل.,
Select a mode of payment to continue.,حدد طريقة دفع للمتابعة.,
Select a note count from the left panel to view full details.,حدد عد الفئات من اللوحة اليسرى لعرض التفاصيل الكاملة.,
Select a note count to cancel.,حدد عد الفئات لإلغاؤه.,
Select a note count to print.,حدد عد الفئات للطباعة.,
Select a payment entry from the left panel to view full details.,حدد قيد دفع من اللوحة اليسرى لعرض التفاصيل الكاملة.,
Select a payment entry to cancel.,حدد قيد دفع لإلغاؤه.,
Select a transfer to view its details.,حدد تحويل لعرض تفاصيله.,
Select an expense claim to view its details.,حدد مصروف لعرض تفاصيلها.,
Select an invoice from the left panel to view full details.,حدد فاتورة من اللوحة اليسرى لعرض التفاصيل الكاملة.,
Selected POS Opening Entry should be open.,يجب أن يكون الإدخال الافتتاحي المحدد لنقاط البيع مفتوحًا.,
Serial No: {0} has already been transacted into another POS Invoice.,الرقم التسلسلي: تم بالفعل معاملة {0} في فاتورة نقطة بيع أخرى.,
Set Filters,ضبط المرشحات,
Show Closing Balance,عرض رصيد الإغلاق,
Source and destination branches cannot be the same,لا يمكن أن تكون الفرع المصدر والوجهة متطابقة,
Status,الحالة,
Stock Entry,قيد مخزون,
Stock Entry cancelled successfully.,تم إلغاء قيد المخزون بنجاح.,
Stock Entry fetch failed,فشل جلب قيد المخزون,
Stock Entry is required,قيد المخزون مطلوب,
Stock quantity not enough for Item Code: {0} under warehouse {1}. Available quantity {2} {3}.,كمية المخزون غير كافية للصنف {0} تحت المستودع {1}. الكمية المتاحة {2} {3}.,
Submit,اعتماد,
Submitted,معتمد,
Supplier,المورد,
Supplier Branch,فرع المورد,
Supplier Invoice,فاتورة المورد,
Supplier Invoice Date,المورد فاتورة التسجيل,
Supplier Invoice No,رقم فاتورة المورد,
Supplier POS Profile,ملف تعريف نقطة البيع للمورد,
Sync,مزامنة,
Sync Completed,تمت المزامنة,
Sync Failed,فشلت المزامنة,
Sync started in background,بدأت المزامنة في الخلفية,
Syncing Invoices...,جاري مزامنة الفواتير...,
System Manager,مدير النظام,
Taxes and Charges,الضرائب والرسوم,
This sync invoices from the parent ERPNext site. Do you want to continue?,ستقوم هذه بمزامنة الفواتير من موقع ERPNext الأب. هل تريد المتابعة؟,
To Account,إلى الحساب,
To Branch,إلى الفرع,
To Date,إلى تاريخ,
To Warehouse,لمستودع,
Today {0},اليوم {0},
Total,الإجمالي,
Total Amount,الاعتماد الأساسي,
Total Claimed,إجمالي المطالب,
Total Paid,إجمالي المدفوع,
Total Sanctioned,الإجمالي المعتمد,
Total paid amount cannot be less than the invoice outstanding amount.,لا يمكن أن يكون إجمالي المبلغ المدفوع أقل من المبلغ المستحق على الفاتورة.,
Transfer Type,نوع النقل,
Transfer Warehouse,نقل المستودع,
Transfer received successfully.,تم استقبال التحويل بنجاح.,
Transferred %,تم النقل بنسبة %,
Transferred in-transit Stock Entry records cannot be cancelled,لا يمكن إلغاء سجلات قيود نقل المخزون التي قيد النقل,
Type,النوع,
Type in search to load items from database.,اكتب في البحث لتحميل الأصناف من قاعدة البيانات.,
Unable to cancel note count.,لا يمكن إلغاء عد الفئات.,
Unable to cancel payment entry.,لا يمكن إلغاء قيد الدفع.,
Unable to create POS Closing Entry.,لا يمكن إنشاء قيد إغلاق نقطة البيع.,
Unable to determine the payment type for the selected Mode of Payment.,لا يمكن تحديد نوع الدفع لطريقة الدفع المحددة.,
Unable to generate the Close Day report.,لا يمكن إنشاء تقرير إغلاق اليوم.,
Unable to load account details for Mode of Payment {0}.,لا يمكن تحميل تفاصيل الحساب لطريقة الدفع {0}.,
Unable to load customers.,لا يمكن تحميل العملاء.,
Unable to queue sync job,لا يمكن وضع وظيفة المزامنة في الطابور,
Unable to save customer name.,لا يمكن حفظ اسم العميل.,
Unallocated,غير مخصص,
Unknown Bill,فاتورة غير معروفة,
Unknown Customer,عميل غير معروف,
Unknown Supplier,مورد غير معروف,
User Branch does not match the destination branch of the stock entry,فرع المستخدم لا يتطابق مع فرع الوجهة لقيد المخزون,
User Branch not set in session or user does not have a branch assigned to his/her employee record,لم يتم تعيين فرع المستخدم في الجلسة أو أن المستخدم لا يملك فرع معين في سجل الموظف الخاص به,
User does not have a branch assigned.,المستخدم لا يملك فرع معين.,
View,عرض,
View Expense Claim,عرض المصروف,
View Mode,طريقة العرض,
View Transfer,عرض نقل المخزون,
You do not have permission to access this Expense Claim.,ليس لديك صلاحية للوصول إلى المصروف هذه.,
You do not have permission to manage expenses.,ليس لديك صلاحية لإدارة المصروف.,
You do not have permission to manage stock transfers.,ليس لديك صلاحية لإدارة نقل المخزون.,
You must select a customer before adding an item.,يجب عليك تحديد عميل قبل إضافة عنصر.,
all,الكل,
delete item,حذف الصنف,
maxit-pos,ماكس إت - نقطة البيع,
{0} is open. Close the POS or cancel the existing POS Opening Entry to create a new POS Opening Entry.,{0} مفتوح. أغلق نقطة البيع أو قم بإلغاء قيد الفتح الموجود لإنشاء قيد فتح جديد.,
{0} to {1},{0} إلى {1},
QTY:,الكمية:,
Rate:,السعر:,
Amount:,القيمة:,
Settings,الإعدادات,
Language,اللغة,
Theme,السمة,
English,الإنجليزية,
Arabic,العربية,
Light,فاتح,
Dark,داكن,
Unable to save settings,تعذر حفظ الإعدادات,
An unexpected error occurred while saving settings.,حدث خطأ غير متوقع أثناء حفظ الإعدادات.,
